text,start,duration
what will be discussed.,1318.016,2.336
Every single thing is discussed on both sides.,1320.352,3.103
"And so, that was a long and ongoing negotiation",1323.455,4.137
with the government of China and with their,1327.592,2.47
representatives lasting several weeks now.,1330.062,3.637
"The Press: So, how did you arrive at Mar-a-Lago",1333.699,1.368
as opposed to the White House?,1335.067,1.368
Mr. Spicer: I&amp;#39;m not going to get into the back and forth.,1336.435,1.034
I would just suggest to you that both sides,1337.469,2.102
discussed various locations and topics,1339.571,2.503
"and agendas and length, et cetera, and aspects",1342.074,3.903
to the trip.,1345.977,0.668
And this is what we&amp;#39;ve arrived at.,1346.645,1.334
"The Press: So, what is the goal for the White House",1347.979,1.802
to accomplish during the visit?,1349.781,1.635
"Mr. Spicer: Well, I think there&amp;#39;s a few things.",1351.416,1.135
"One is, I think this is an opportunity",1352.551,1.701
for President Trump to develop a relationship in person,1354.252,3.07
with President Xi.,1357.322,1.101
He&amp;#39;s spoken to him on the phone a few times.,1358.423,2.903
"But we have big problems, and -- I mean, everything",1361.326,2.069
"from the South China Sea, to trade, to North Korea.",1363.395,4.471
There are big issues of national and economic,1367.866,1.802
"security that need to get addressed, and I think",1369.668,2.636
there&amp;#39;s going to be a lot on the table when it comes,1372.304,1.468
to that over the two days that they will talk.,1373.772,1.735
"The Press: And lastly, the Chinese are expecting",1375.507,2.536
the White House to provide some sort of framework,1378.043,1.868
for the relationship to be viewed for.,1379.911,2.236
Are you prepared for that?,1382.147,1.201
And can you talk a little bit about what that,1383.348,2.102
framework might be?,1385.45,1.168
Mr. Spicer: Can you expand on that a little?,1386.618,1.135
The Press: Kind of put a floor under the,1387.753,1.901
"relationship, looking for how to view the relationship.",1389.654,2.77
"Obviously, you had the rebalance and the pivot",1392.424,2.436
in the prior administration.,1394.86,1.334
Is there a tagline or a vision for U.S.- China,1396.194,2.97
relations that you will roll out during this visit?,1399.164,2.936
Mr. Spicer: We&amp;#39;ll see.,1402.1,1.068
"I&amp;#39;m not -- if you have any hashtags, let me know.",1403.168,2.669
But I think right now we&amp;#39;re not worried so much,1405.837,2.503
about slogans as much as progress.,1408.34,2.469
There&amp;#39;s a lot of big things that we need to,1410.809,1.702
"accomplish with China, and I think that we will work on them.",1412.511,3.103
Kristen.,1415.614,0.667
"The Press: Thanks, Sean.",1416.281,1.268
Did the President direct anyone in this White House,1417.549,2.502
or in his national security team to try,1420.051,2.57
to find information or intelligence to back up,1422.621,2.702
his assertion about wiretapping?,1425.323,3.537
Mr. Spicer: I don&amp;#39;t -- I&amp;#39;m not aware of anything directly.,1428.86,3.304
"I&amp;#39;d have to look into that in terms of -- again,",1432.164,2.002
there&amp;#39;s two sides to this.,1434.166,1.101
"One is the information side, and two is the",1435.267,1.868
policy and the activities and the legal piece,1437.135,3.07
of what happened.,1440.205,1.001
"And I don&amp;#39;t -- those are big buckets, if you will.",1441.206,5.038
"The Press: So, it&amp;#39;s possible.",1446.244,1.402
Mr. Spicer: I&amp;#39;m not going to comment on it.,1447.646,1.401
The Press: And one more.,1449.047,1.301
Don&amp;#39;t sort of the daily questions about this make,1450.348,3.337
it necessary to have some type of outside,1453.685,2.269
independent investigation to lift any lingering,1455.954,3.57
cloud that there may be?,1459.524,1.635
Mr. Spicer: No.,1461.159,1.068
The Press: Why?,1462.227,1.268
Mr. Spicer: I think you have two committees,1463.495,1.201
looking into this.,1464.696,1.034
"The FBI has been looking into this, as they",1465.73,1.535
mentioned at the hearing.,1467.265,1.001
"I mean, how many do you want?",1468.266,1.402
I understand that you may not have --,1469.668,2.302
The Press: Do you think the House intelligence investigation,1471.97,1.835
is still valid given all of these questions?,1473.805,2.469
Mr. Spicer: How is it not valid?,1476.274,2.002
I&amp;#39;m asking --,1478.276,1.101
The Press: There are all these questions about,1479.377,1.168
"where Devin Nunes got his information from,",1480.545,2.403
was it politically motivated to lift that cloud.,1482.948,3.136
Would it not be smart to have an outside,1486.084,2.269
independent investigation?,1488.353,1.335
"Mr. Spicer: No -- well, again, I think you got the",1489.688,1.835
"FBI, probably other intelligence committees",1491.523,2.569
that looked -- 17 of them issued a report earlier,1494.092,2.803
in terms of involvement in the 2016 election.,1496.895,2.903
And then you&amp;#39;ve got two congressional committees,1499.798,2.903
looking into it.,1502.701,0.901
"So, I&amp;#39;m not really sure the exact need.",1503.602,2.702
I think that people are doing -- I understand,1506.304,2.102
sometimes there&amp;#39;s a need for you guys to have more,1508.406,1.669
information and more sources.,1510.075,1.067
I think this is being done in a responsible way where,1511.142,2.369
people are being discussed -- what they know,1513.511,2.57
at an appropriate classification level and information,1516.081,2.202
is being shared.,1518.283,1.234
The Press: Can you just quickly talk about,1519.517,1.602
the timing of inviting the leaders of this,1521.119,2.836
investigation to the White House now?,1523.955,1.535
Is it because of this report?,1525.49,1.268
Why not do that initially?,1526.758,0.801
Mr. Spicer: I think a couple things.,1527.559,1.435
"One is, they asked -- they tasked the various",1528.994,5.839
"committees in mid-March to -- or the agencies,",1534.833,4.471
"rather, to provide information.",1539.304,2.769
"We felt we had information that was relevant,",1542.073,1.635
and I think there was some -- there&amp;#39;s a desire to make,1543.708,3.704
sure that both sides of the aisle who are looking,1547.412,3.136
"into this, as well as both chambers, had that information.",1550.548,3.537
Anita.,1554.085,1.402
The Press: Eric Trump gave an interview a few days,1555.487,3.036
"ago to Forbes Magazine, in which he said that he",1558.523,2.77
"would update his father regularly, perhaps",1561.293,2.435
"quarterly, on the business, including giving",1563.728,3.27
profitability reports.,1566.998,2.736
"So, I had two questions about that.",1569.734,1.402
"One is, have they spoken about the business since January?",1571.136,3.37
"And two, how does this not violate what the President",1574.506,2.803
set out as the protocols for how he would deal,1577.309,2.869
with the business?,1580.178,0.567
"Mr. Spicer: Well, two things.",1580.745,1.368
I don&amp;#39;t know if they&amp;#39;ve spoken.,1582.113,1.335
It&amp;#39;s not -- this may be a question better directed,1583.448,4.805
to the Trump organization.,1588.253,1.535
"But secondly, I think everything that he&amp;#39;s done",1589.788,2.669
is in accordance with what the Counsel&amp;#39;s Office,1592.457,3.203
and the ethics folks --,1595.66,1.302
"The Press: Just following up, I believe he said that he wasn&amp;#39;t",1596.962,1.401
"going to talk to his children, his sons, about the business.",1598.363,3.036
So how is that --,1601.399,1.235
"The Press: Again, I think everything that is being done",1602.634,2.602
in terms of reports or updates is being done in a consultation,1605.236,4.205
with the Counsel&amp;#39;s Office.,1609.441,2.002
"So, I think that&amp;#39;s -- Justin.",1611.443,2.002
The Press: I have two things I want to ask.,1613.445,2.269
The first is just to follow up on Major,1615.714,1.801
and ask about the substance.,1617.515,2.57
It&amp;#39;s sort of unclear what you guys are telling,1620.085,4.137
the chairman and the ranking members you have.,1624.222,2.402
Is it information that would validate the President&amp;#39;s,1626.624,3.07
claims about surveillance during,1629.694,2.269
the 2016 campaign?,1631.963,1.735
Or is it information about their broader Russia investigation?,1633.698,3.27
I&amp;#39;m trying to --,1636.968,1.068
"Mr. Spicer: Again, I&amp;#39;m not here to share that.",1638.036,1.802
That&amp;#39;s why we&amp;#39;ve invited them up to view it,1639.838,2.536
"in a classified setting, in an appropriate setting.",1642.374,2.836
It&amp;#39;s not to be shared with people that don&amp;#39;t have,1645.21,3.67
the appropriate clearances and access to --,1648.88,2.469
The Press: But you&amp;#39;re not intending to imply that this,1651.349,3.404
is the information that Chairman Nunes has been talking about.,1654.753,3.036
"Mr. Spicer: No, what I&amp;#39;m suggesting is that there",1657.789,3.27
has been information that has been -- material that,1661.059,2.602
"has been made come to light, and that we want to",1663.661,4.405
make sure that the people who are conducting the,1668.066,2.235
"review have that information, have access to it.",1670.301,1.969
"The Press: And then, Westinghouse Center filed",1672.27,2.936
for bankruptcy yesterday.,1675.206,1.602
I&amp;#39;m wondering if that&amp;#39;s prompted national security,1676.808,1.802
"concerns in the administration, and if there is any effort",1678.61,4.137
within the administration to sort of help them navigate,1682.747,4.038
"this bankruptcy, considering that the --",1686.785,1.668
Mr. Spicer: I&amp;#39;ll have to check on that.,1688.453,1.735
I think there&amp;#39;s obviously a couple departments,1690.188,2.669
that would be interested in that.,1692.857,1.802
Steve.,1694.659,1.101
"The Press: Sean, I just want to ask you to",1695.76,1.101
elaborate more on what you have so far told us.,1696.861,1.468
"You said that in the ordinary course of business,",1698.329,2.77
the national security staff discovered documents.,1701.099,3.47
Can you explain how these documents were uncovered?,1704.569,2.636
"What does it mean ,&amp;quot;In the course of business?&amp;quot;",1707.205,2.069
"Mr. Spicer: I don&amp;#39;t think -- no, I&amp;#39;m not.",1709.274,1.368
That&amp;#39;s why we&amp;#39;ve invited them up into a classified,1710.642,2.836
"setting, is for them to see these materials",1713.478,2.369
and understand it.,1715.847,1.335
This is not the setting that is appropriate,1717.182,1.668
to discuss that.,1718.85,1.101
"The Press: So, who in the national security staff,",1719.951,1.201
"then, uncovered the documents?",1721.152,1.402
Mr. Spicer: Good question.,1722.554,1.101
"That is not -- again, as I&amp;#39;ve mentioned multiple",1723.655,2.602
"times, we&amp;#39;re not here to go through the process.",1726.257,2.102
Our job is to get to the substance of this and to,1728.359,1.802
make sure that the people who have the appropriate,1730.161,2.169
"access and authority to look into this matter,",1732.33,2.436
and then take appropriate steps.,1734.766,1.335
The Press: Are you in a position right now to deny,1736.101,3.003
or rule out the possibility that members,1739.104,3.236
of the national security staff have already,1742.34,1.368
informed the Chairman of the House Intelligence Committee?,1743.708,2.002
Mr. Spicer: I&amp;#39;m not going to get into any further,1745.71,1.135
details on this.,1746.845,1.101
"I would just suggest to you -- again, if I can",1747.946,1.368
go back for a second to something that the Obama,1749.314,2.636
administration&amp;#39;s Deputy Assistant Secretary of Defense,1751.95,3.036
"noted very clearly on the record,",1754.986,2.069
that they were engaged in an effort to spread information,1757.055,3.37
about Trump officials that had come up in intelligence.,1760.425,2.836
That&amp;#39;s not -- that is several networks.,1763.261,3.503
Evelyn Farkas made that proclamation about what,1766.764,3.704
was going on during the Obama administration,1770.468,2.503
regarding the Trump team.,1772.971,0.934
"So, that is something that they made very clear",1773.905,2.736
on the record.,1776.641,0.701
John.,1777.342,0.667
"The Press: A couple of things, Sean.",1778.009,1.335
"First of all, on the Freedom Caucus,",1779.344,2.068
"in response to the President&amp;#39;s tweet,",1781.412,2.036
Congressman Amash of Michigan responded,1783.448,3.437
"on camera, saying, most people don&amp;#39;t like to be",1786.885,2.435
bullied -- in response to the President --,1789.32,2.369
also saying that sending out such tweets is,1791.689,2.837
constructive in the 5th grade and it may allow,1794.526,2.068
"a child to get his way, but that&amp;#39;s not how government works.",1796.594,3.504
Could you take a moment to respond to Congressman Amash?,1800.098,2.335
Was the President trying to bully the Freedom Caucus?,1802.433,3.07
Mr. Spicer: No.,1805.503,1.135
I think this is consistent with everything,1806.638,2.335
that he has said since Friday of last week.,1808.973,4.004
And I think that he is looking for members,1812.977,2.937
"on both sides of the aisle, who want",1815.914,1.768
"to be constructive, to achieve the goal",1817.682,1.502
of a patient-centered healthcare system.,1819.184,1.534
"That&amp;#39;s it, plain and simple.",1820.718,1.202
And I think that his comments and his tweets,1821.92,2.636
speak for themselves with respect to how he feels and why.,1824.556,2.469
"The Press: Following on that, is this",1827.025,2.702
a divide-and-conquer strategy?,1829.727,0.868
"Mr. Spicer: No, it&amp;#39;s a math strategy, which is",1830.595,3.737
"to get to 216 and pass an effort, and continue",1834.332,2.569
to move the agenda forward.,1836.901,1.835
"The Press: And then if I could, following on what",1838.736,1.602
"Major said, you&amp;#39;ve accused people in this room",1840.338,1.635
several times of being more interested in,1841.973,2.336
the process than actually in substance of things.,1844.309,4.504
But when information is discovered by the,1848.813,3.137
"Intelligence Committee Chairman in the House,",1851.95,2.168
"at the White House, that is potentially exculpatory",1854.118,3.437
"to what the President has tweeted out, and it&amp;#39;s",1857.555,3.037
reported that one of the people who was involved,1860.592,2.369
in uncovering that information is a White House staff member,1862.961,3.436
who was kept in his position over the request,1866.397,2.536
of the National Security Advisor,1868.933,1.735
by the political leadership here,1870.668,1.402
"at the White House, does the process not then take",1872.07,2.736
on some relevance?,1874.806,1.001
"Mr. Spicer: Well, the process in the sense that",1875.807,2.569
"we are -- as I&amp;#39;ve noted, we have invited the",1878.376,2.836
chairman and the ranking members who are looking,1881.212,1.935
into this and reviewing the matter up here.,1883.147,2.069
That doesn&amp;#39;t mean that we allow un-cleared members,1885.216,2.102
from the media to come in and look at it.,1887.318,1.902
That means --,1889.22,1.301
The Press: I&amp;#39;m not asking that question.,1890.521,0.901
"Mr. Spicer: No, you are.",1891.422,0.801
You said --,1892.223,0.934
"The Press: No, I&amp;#39;m not asking that question.",1893.157,1.168
"Mr. Spicer: But I think it is, because --",1894.325,1.168
The Press: That&amp;#39;s not what I asked.,1895.493,1.068
"What I asked was, when you have that connection",1896.561,1.268
"of dots all the way along, does the process,",1897.829,2.969
the prominence of this information not become,1900.798,2.269
relevant to the overall investigation?,1903.067,1.936
Mr. Spicer: It&amp;#39;s for the people who are conducting,1905.003,1.935
"the review to decide that, not for the people",1906.938,1.601
in this room to decide it.,1908.539,1.569
It is up to the people who are cleared to look at,1910.108,2.169
"that information and that material, to look at it",1912.277,3.203
and make their evaluations.,1915.48,1.234
And I think they are conducting their review.,1916.714,1.702
"You&amp;#39;ve seen very clearly, both on the House side",1918.416,1.835
"and then starting today on the Senate side, them looking",1920.251,2.302
into this matter.,1922.553,0.668
"That is the appropriate venue, forum,",1923.221,1.735
"and personnel to be reviewing it, plain and simple.",1924.956,2.903
"The Press: Sean, a quick follow up on that.",1927.859,1.368
Mr. Spicer: Zeke.,1929.227,1.334
The Press: You mentioned a couple of times --,1930.561,0.935
Mr. Spicer: Zeke.,1931.496,0.967
The Press: Thank you.,1932.463,1.435
Has the President already been briefed on this information -- ?,1933.898,2.102
"Mr. Spicer: I&amp;#39;m sorry, I couldn&amp;#39;t hear you.",1936,1.068
The Press: Has the President been briefed,1937.068,1.101
on this information that you&amp;#39;re now inviting,1938.169,1.135
the congressional committee chairs to come in and view?,1939.304,2.936
And when was he briefed on it?,1942.24,1.802
Mr. Spicer: I will look into that.,1944.042,1.368
I&amp;#39;m not entirely sure when or what the status of that,1945.41,2.469
"is, but I can follow up on that.",1947.879,2.169
"The Press: So, then why would you brief --",1950.048,1.434
why would the White House brief congressional --,1951.482,1.468
Mr. Spicer: I understand the question.,1952.95,1.035
"Like I said, I will look into whether or not --",1953.985,2.302
where that stands.,1956.287,1.168
Blake.,1957.455,1.034
"The Press: Sean, thanks.",1958.489,0.968
A couple on taxes.,1959.457,1.201
"The timeline here had been healthcare first,",1960.658,2.036
tax reform second.,1962.694,2.268
"There was a Fox poll out, released yesterday,",1964.962,1.502
that said 73 percent of Americans want tax reform,1966.464,2.736
to happen this year.,1969.2,1.668
"With healthcare now at least being on hold, is healthcare",1970.868,4.405
the number-one priority for this administration --,1975.273,2.569
is tax reform the number-one priority for this administration,1977.842,3.203
"at this point, or is healthcare still kind of taking up",1981.045,2.403
some of the oxygen?,1983.448,1.701
"Mr. Spicer: Well, I don&amp;#39;t know that it&amp;#39;s taking up oxygen.",1985.149,1.735
I think there&amp;#39;s plenty of oxygen for both to go on.,1986.884,2.236
I think the President would still like to see it done.,1989.12,2.269
But I think there&amp;#39;s no reason that we can&amp;#39;t --,1991.389,2.469
"I mean, if you look at the timeline for tax reform,",1993.858,3.07
"you&amp;#39;re talking several months, and so I think",1996.928,2.669
"the process is beginning on that, and I think you",1999.597,2.302
can have a dual-track strategy.,2001.899,1.635
It&amp;#39;s not an either/or proposition.,2003.534,1.368
The Press: And you described what was going,2004.902,2.236
on with the meeting today as the first phase.,2007.138,2.736
Can you lay out to us what is somewhat entailed,2009.874,3.07
with that first phase?,2012.944,1.301
Is the President being given detailed strategies?,2014.245,2.202
Or is it broad principles?,2016.447,1.302
What is involved in this first phase?,2017.749,1.635
Mr. Spicer: I think it&amp;#39;s a little of both.,2019.384,1.167
They&amp;#39;re talking about the process that they intend,2020.551,3.237
"to partake -- how this is going to lay out,",2023.788,2.235
"who they&amp;#39;re engaging with, how they&amp;#39;re going to begin",2026.023,2.57
"that process, and then some of the guiding",2028.593,1.735
principles in making sure that any updates that,2030.328,3.67
he has or any principles that he wants to suggest,2033.998,1.969
are incorporated into that plan as they begin,2035.967,2.936
to meet with stakeholders.,2038.903,0.834
But part of this is to level-set with him,2039.737,4.204
as to what they intend to do and how they intend to do it.,2043.941,2.903
The Press: And you just mentioned a dual track,2046.844,1.101
"between healthcare and tax reform, but then there&amp;#39;s",2047.945,2.102
also infrastructure hanging out there.,2050.047,1.469
"So, can all of those go together?",2051.516,3.136
Mr. Spicer: Lots of tracks.,2054.652,1.835
"I mean, again, remember they&amp;#39;re not all the same",2056.487,2.87
"people; some of them overlap, some of them don&amp;#39;t.",2059.357,2.369
"But I think part of this is, is that you got",2061.726,1.735
to remember that some things can happen sooner than,2063.461,2.436
others because of the legislative calendar.,2065.897,2.369
Some things are going to take longer because,2068.266,1.902
of both the legislative calendar and because,2070.168,3.303
of the number of individuals involved and the complexity,2073.471,3.904
of the situation.,2077.375,1.001
But there&amp;#39;s a lot of things that can be moving,2078.376,1.635
at once because of how they&amp;#39;ll play out.,2080.011,1.768
John Gizzi.,2081.779,0.668
"The Press: Thank you, Sean.",2082.447,2.602
"Turning to the foreign front, yesterday,",2085.049,2.936
"Vladimir Kara-Murza, the twice-poisoned Russian",2087.985,3.637
dissident and vice-chairman of the,2091.622,2.169
"Open Russia Movement, testified before a Senate",2093.791,3.437
"appropriations subcommittee, backing",2097.228,4.204
continued sanctions against Russia.,2101.432,3.07
He also called on Secretary of State Tillerson,2104.502,3.804
to meet with Russian civil society members,2108.306,4.171
"-- in other words, anti-Putin dissidents",2112.477,2.569
like himself -- when he makes his trip to Moscow next month.,2115.046,4.237
Mr. Kara-Murza also said he was meeting with many,2119.283,2.336
"members of Congress of both parties, but he would",2121.619,3.804
be very happy to meet with any administration officials.,2125.423,3.703
Are there any plans for the President or anyone,2129.126,3.637
in the White House to meet with Mr. Kara-Murza?,2132.763,2.636
And will Mr. Tillerson meet with the Russian civil society?,2135.399,4.205
Mr. Spicer: I would suggest to you --,2139.604,1.201
I&amp;#39;m not aware of anything.,2140.805,1.001
"Both the National Security Council, as well as",2141.806,2.869
the State Department are probably more appropriate,2144.675,1.569
for you to address that to.,2146.244,1.434
Alexis.,2147.678,1.569
"The Press: Sean, can I ask a question -- but before",2149.247,1.735
"I do, get some clarification on the answer",2150.982,1.902
that you gave to Hunter and to Major?,2152.884,3.47
I thought it was just yesterday that you said,2156.354,2.402
that when you were asked who cleared in Chairman,2158.756,2.836
"Nunes, that you had asked some preliminary questions",2161.592,2.836
"and not gotten answers, and that you would",2164.428,1.802
continue to ask.,2166.23,1.235
Mr. Spicer: Yeah.,2167.465,1.068
"The Press: So, my question today is, you know",2168.533,1.701
the answers to that and you are saying you will not answer,2170.234,2.636
that question today?,2172.87,1.402
Or you don&amp;#39;t know?,2174.272,1.268
"Mr. Spicer: No, no, that&amp;#39;s not -- right.",2175.54,1.167
"So, what I&amp;#39;m saying to you is, is that the decision",2176.707,1.435
that has been made is to bring in all the relevant,2178.142,3.871
individuals that are reviewing the situation,2182.013,1.868
and make them available; that getting into sources,2183.881,2.77
and process is not the proper way to conduct this review.,2186.651,3.069
And we want the people who are conducting it to,2189.72,1.869
understand more fully the materials --,2191.589,3.403
not necessarily who came in what time and whatever.,2194.992,1.902
"The Press: So, you&amp;#39;re -- just to clarify again,",2196.894,2.469
you asked the questions?,2199.363,1.602
You were not given answers?,2200.965,1.234
"Mr. Spicer: No, no, that&amp;#39;s -- I&amp;#39;m just saying that --",2202.199,1.602
The Press: You said yesterday you asked that,2203.801,1.668
"-- wait, let me finish.",2205.469,1.368
"You said yesterday that you asked, you didn&amp;#39;t",2206.837,2.103
get the answers.,2208.94,0.9
"And so, what you&amp;#39;re telling us today is",2209.84,2.269
"you are never going to get the answer -- you, yourself --",2212.109,2.47
you are never going to get the answer to who cleared,2214.579,1.801
in Chairman Nunes?,2216.38,1.535
"Mr. Spicer: What I&amp;#39;m saying is, is that",2217.915,1.468
the decision was made -- it&amp;#39;s supposed to focus,2219.383,1.969
"on the process, to focus on the substance, and that the decision",2221.352,3.17
was made --,2224.522,1.701
The Press: You&amp;#39;re not answering my question.,2226.223,1.302
"Mr. Spicer: I let you ask the question, so let me",2227.525,2.069
"answer it, please.",2229.594,1.101
And the answer that I&amp;#39;m giving you is that,2230.695,2.569
the decision was made internally to focus on,2233.264,2.102
"the individuals who are doing the review,",2235.366,1.635
"both Republicans and the Democrats, House and Senate,",2237.001,3.503
and have them come in and look,2240.504,1.035
at the materials.,2241.539,1.001
"That&amp;#39;s what the focus should be, Alexis.",2242.54,2.202
Kaitlan.,2244.742,1.068
"The Press: Wait, wait, wait, here&amp;#39;s my bigger question.",2245.81,2.936
"The President has expressed his affirmation,",2248.746,4.104
his support for the finding that Russia,2252.85,2.536
interfered with the 2016 election.,2255.386,2.669
That is the centerpiece of the investigation,2258.055,2.803
at the FBI and the Senate Intelligence Committee.,2260.858,3.07
"My question is -- can you update us, what is",2263.928,2.502
the President doing now in the administration to respond,2266.43,5.639
to Director Comey&amp;#39;s testimony that that,2272.069,3.17
interference is not just election-year-based,2275.239,3.971
but continuing?,2279.21,4.371
"Mr. Spicer: You&amp;#39;re talking about the executive order,",2283.581,1.601
is that correct?,2285.182,1.168
"The Press: I just asked, can you update what",2286.35,1.702
"is the administration doing to prevent that, to --",2288.052,3.537
Mr. Spicer: So okay --,2291.589,1.334
"The Press: -- to respond to that preliminary finding already,",2292.923,4.505
"that we already know, that it is continuing?",2297.428,1.768
"Mr. Spicer: Well, so the executive order that the",2299.196,2.236
President signed that continues the national,2301.432,2.469
emergency deals with looking into malicious,2303.901,3.604
attempts and cyber attempts to come,2307.505,1.768
into the United States.,2309.273,0.868
That&amp;#39;s what the executive order that he signed was.,2310.141,2.302
The Press: That&amp;#39;s the sum total of the response so far?,2312.443,2.402
"Mr. Spicer: Well, I&amp;#39;m not going to get into what&amp;#39;s",2314.845,3.137
being done behind the scenes in terms of,2317.982,1.401
the intelligence and law enforcement community.,2319.383,2.069
But the bottom line is that there was,2321.452,1.401
an emergency declared with respect to challenges,2322.853,4.171
that the United States faces from a variety of actors,2327.024,4.004
outside the United States to come in and use,2331.028,3.737
cyber techniques to hack the United States.,2334.765,2.403
The national emergency will continue under the,2337.168,2.335
President to address the threats that we face,2339.503,2.836
from abroad and from a variety of places.,2342.339,3.637
April.,2345.976,1.102
The Press: Sean?,2347.078,0.934
"The Press: Wait, no.",2348.012,1.134
I was just going to --,2349.146,1.135
The Press: Sean?,2350.281,0.967
Mr. Spicer: April.,2351.248,1.035
"The Press: Yes, Sean.",2352.283,1.001
Mr. Spicer: We&amp;#39;ll get to you.,2353.284,0.934
(Laughter.),2354.218,1.201
The Press: He called on someone else?,2355.419,0.868
I&amp;#39;m sorry.,2356.287,0.967
"Go ahead, and then come back to me.",2357.254,1.135
"Mr. Spicer: Okay, I&amp;#39;ll do Kaitlan and then April.",2358.389,0.867
I&amp;#39;m sorry.,2359.256,1.101
"The Press: She can go first, but I&amp;#39;ll just go after her.",2360.357,1.068
Mr. Spicer: Okay.,2361.425,0.968
(Laughter.),2362.393,1.034
"The Press: Okay, thank you, Kaitlan.",2363.427,3.003
"So, Sean, what is the ultimate goal of the leaders",2366.43,4.538
"coming in to get this information, and will",2370.968,2.136
it be information that Nunes received plus?,2373.104,3.77
Or will it just be basically a synopsis,2376.874,4.037
of a synopsis of what Nunes received?,2380.911,2.703
"Mr. Spicer: Well, it&amp;#39;s going to be the materials",2383.614,2.769
that are relevant to the discussion in the area,2386.383,4.071
that they&amp;#39;re reviewing.,2390.454,1.068
And that&amp;#39;s up to them to decide the relevancy of that.,2391.522,2.636
"I think we have, from the National Security Committee,",2394.158,2.703
has gone into -- come upon some materials that they want,2396.861,3.336
to share with them.,2400.197,0.901
It&amp;#39;s up to them to make a decision about,2401.098,1.735
the relevance of those documents and what,2402.833,1.368
they would lead them to believe.,2404.201,1.335
But there&amp;#39;s two issues here.,2405.536,1.001
"One, April, is what do they see, and then what do",2406.537,3.103
they want to see in addition to that or as a result,2409.64,3.003
of those materials.,2412.643,2.102
Right?,2414.745,1.135
"So, in other words, they may see things and say,",2415.88,1.902
"&amp;quot;Hey, this is interesting, I wonder if there&amp;#39;s",2417.782,1.434
"a pattern; this is interesting, I want to see more.&amp;quot;",2419.216,2.836
Or they may come to a conclusion right away.,2422.052,1.502
But that&amp;#39;s part of the idea of -- to the first,2423.554,2.169
part of your question -- in sharing information,2425.723,1.501
with them is to allow the members of both of,2427.224,2.937
the committees on a bipartisan basis to come in to review,2430.161,2.636
materials that we think are relevant to the issues,2432.797,5.872
that the President talked about with respect,2438.669,2.503
"to surveillance, the masking -- unmasking",2441.172,2.469
"of individuals, the handling of it, et cetera, et cetera.",2443.641,3.203
And then it&amp;#39;s up to those members to decide what,2446.844,2.602
"to do with that information, how to explore that more in depth.",2449.446,4.271
"The Press: So, ultimately, in their questioning, they",2453.717,2.503
"could actually wind up reviewing what Nunes received, possibly?",2456.22,4.571
"If they do, even ask different questions,",2460.791,2.636
just sitting in the intelligence meetings,2463.427,2.703
like the President does -- if he decides to dig more,2466.13,3.47
he&amp;#39;ll give more?,2469.6,0.601
Mr. Spicer: It depends.,2470.201,1.267
I think that&amp;#39;s possible.,2471.468,1.335
I don&amp;#39;t want to prejudge what they ask and what,2472.803,3.237
comes in response to it.,2476.04,1.034
It also has to do with what documents we have.,2477.074,2.035
They may go down a particular trail,2479.109,2.87
"and have to follow up with an agency and say, we saw this,",2481.979,3.971
can we see a follow-up on that.,2485.95,1.968
As you saw from many reports the NSA has,2487.918,3.037
been asked to provide documentation to the House.,2490.955,2.802
My understanding from the reports is that,2493.757,1.602
that was ongoing.,2495.359,1.435
And maybe some of the materials that they see,2496.794,2.202
prompt them to ask additional questions.,2498.996,3.704
But that&amp;#39;s part of providing it to them.,2502.7,1.935
It&amp;#39;s an ongoing review.,2504.635,1.568
And what we want is for them to see these,2506.203,2.87
"materials and come to conclusions, or need more",2509.073,3.537
information to come to conclusions.,2512.61,1.868
But this is part of that review process.,2514.478,1.735
The Press: Are they allowed to -- the type,2516.213,3.604
"of briefing, with their ranking and who they",2519.817,1.935
"are -- no matter if they may be head of the Intel Committee,",2521.752,4.705
are some of these other members allowed to see the same,2526.457,2.135
things that he sees?,2528.592,1.468
"Even though they are not head of -- I mean,",2530.06,2.303
are they allowed to see that?,2532.363,1.535
Mr. Spicer: My understanding would be that they would.,2533.898,1.001
The Press: Okay.,2534.899,1.067
"And lastly, Sean, do you know who allowed",2535.966,2.269
him to come in?,2538.235,1.101
Mr. Spicer: No.,2539.336,0.968
The Press: You don&amp;#39;t know?,2540.304,0.867
Mr. Spicer: No.,2541.171,0.835
Kaitlan.,2542.006,1.001
The Press: I have two questions for you.,2543.007,1.067
"One is, has anyone in the White House ever raised",2544.074,2.803
the possibility of a Cabinet position or a top,2546.877,3.27
intelligence post later on in the administration,2550.147,2.77
for Devin Nunes?,2552.917,1.234
Mr. Spicer: Not that I&amp;#39;m aware.,2554.151,1.335
"The Press: And secondly, will the President hold",2555.486,1.902
a press conference so he can answer questions,2557.388,1.735
on the surveillance claims and all these intelligence,2559.123,2.235
revelations himself?,2561.358,1.168
Mr. Spicer: I&amp;#39;m not good enough?,2562.526,1.235
"The Press: Not that you&amp;#39;re not good enough, but he&amp;#39;s",2563.761,1.601
the one who made the claims.,2565.362,0.868
"You didn&amp;#39;t make the claims, he made the claims.",2566.23,3.203
Mr. Spicer: I will convey your request to him.,2569.433,1.768
"I know that as I&amp;#39;ve said before, we&amp;#39;ll see.",2571.201,2.103
I&amp;#39;m sure that at some point -- he enjoyed,2573.304,1.735
the last one so much --,2575.039,0.967
